OBJECTID,ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,INSTALLED,LOCKED,INSTALL_DATE,REMOVAL_DATE,TEMPORARY_INSTALL,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS,X,Y,SE_ANNO_CAD_DATA,OWNER
328739182,421,24th & R St NE / National Arboretum,31520,38.91263,-76.971923,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,16,3,402435.07623743,138307.70879166,,DC
328739183,422,Division Ave & Foote St NE,31713,38.897407,-76.925907,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,10,5,406427.34608733,136620.06609604,,DC
328739184,423,16th & Q St SE / Anacostia HS,31812,38.870695,-76.982359,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,17,6,401530.8771481,133652.36788743,,DC
328739185,424,Spring Hill Metro,32200,38.929261,-77.240654,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,10,5,379133.32906395,140181.01997978,,
328739186,425,Westpark Dr & Leesburg Pike,32201,38.92403,-77.235955,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,2,9,379539.26898978,139599.2725456,,
328739187,427,Tysons One Pl & Chain Bridge Rd,32203,38.919475,-77.221179,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,6,380819.33544907,139090.42242219,,
328739188,428,Tysons Corner Station,32204,38.920939,-77.222115,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,8,380738.56101699,139253.13535423,,
328739189,429,Westpark & Jones Branch Dr,32205,38.924437,-77.217664,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,6,381125.46936865,139640.51216859,,
328739190,430,Jones Branch & Westbranch Dr,32206,38.931911,-77.219261,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,2,11,380988.98002738,140470.51937627,,
328739191,431,Westpark & Park Run Dr,32207,38.928919,-77.225394,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,2,380456.39941172,140139.67762131,,
328739192,432,Tysons West Transit Center,32208,38.932636,-77.231825,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,11,0,379899.82535415,140553.69184941,,
328739193,433,North Shore & Cameron Crescent Dr/Crescent Apartments,32209,38.970046,-77.338686,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,7,370649.98316139,144735.46493428,,
328739194,434,Town Center Pkwy & Bowman Towne Dr,32210,38.962524,-77.361902,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,10,368634.8195974,143908.17868719,,
328739195,435,Reston Regional Library,32211,38.962095,-77.358815,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,9,368902.1739327,143859.49993933,,
328739196,436,New Dominion Pkwy & Fountain Dr,32212,38.960574,-77.356324,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,6,369117.40410412,143689.81045718,,
328739197,437,Sunset Hills & Old Reston Ave,32213,38.955079,-77.351649,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,11,369520.23453313,143078.24814447,,
328739198,438,Reston Town Center Transit Station,32214,38.957037,-77.359718,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,10,7,368821.70051475,143298.32745781,,
328739199,439,1st & D St SE,31643,38.884916,-77.005965,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,10,9,399482.46343538,135230.87572136,,DC
328739200,440,Wiehle Ave & Reston Station Blvd,32215,38.946608,-77.339391,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,7,11,370579.21617009,142133.87538978,,
328739201,441,Library St & Freedom Dr,32216,38.959633,-77.358741,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,11,368907.51332443,143586.17197497,,
328739202,442,Sunset Hills Rd & Discovery Square,32217,38.95534,-77.357611,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,7,8,369003.58432792,143109.22880515,,
328739203,443,22nd St & Constitution Ave NW,31292,38.892441,-77.048947,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,11,12,395753.69834411,136067.33084543,,DC
328739204,444,61st St & Banks Pl NE,31714,38.891805,-76.913563,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,15,407498.73967816,135999.14156768,,DC
328739205,445,Temporary Rd & Old Reston Ave,32218,38.960084,-77.353414,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,12,369369.40191424,143634.4358956,,
328739206,446,Reston YMCA,32219,38.955314,-77.368416,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,12,368067.03974401,143110.06678211,,
328739207,447,Sunset Hills Rd & Isaac Newton Square,32220,38.951443,-77.340377,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,10,1,370495.7444288,142670.91855872,,
328739208,448,N Lynn St & Fairfax Dr,31917,38.89386,-77.070862,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,11,4,393852.62779737,136226.09856392,,
328739209,449,Georgia Ave & Piney Branch Rd NW,31414,38.967505,-77.027976,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,11,4,397575.55015788,144399.31612925,,DC
328739210,450,Greensboro & International Dr,32221,38.923083,-77.227417,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,4,380279.37434818,139492.26880639,,
328739211,451,Madison St & Fairfax St,31918,38.812351,-77.040691,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,11,3,396465.96860825,127176.42009605,,
328739212,452,Sligo Ave & Carroll Ln,32058,38.990874,-77.016311,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,9,398586.92327584,146993.256491,,
328739213,453,15th & W St NW,31125,38.919086,-77.034502,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,10,397007.96400294,139024.5695478,,DC
328739214,454,12th St & Pennsylvania Ave SE,31644,38.882489,-76.990121,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,15,4,400857.15299711,134961.48951302,,DC
328739215,455,3rd St & Riggs Rd NE,31412,38.957463,-77.002239,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,11,399805.93693957,143284.19137817,,DC
328739216,456,Carlin Springs Rd & N Thomas St,31919,38.876695,-77.112982,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,9,390196.30536757,134324.33170588,,
328739217,457,Towers Crescent Dr & Tysons One Pl,32222,38.915246,-77.220157,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,6,380906.83105285,138620.75516987,,
328739218,458,6th & K St NE,31645,38.902932,-76.998405,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,10,9,400138.35077749,137230.77827999,,DC
328739219,459,Pooks Hill Rd & Linden Ave,32057,39.014716,-77.107143,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,5,10,390720.95043328,149645.2816699,,
328739220,460,Takoma Park Rec Center,32059,38.98265,-76.988311,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,5,401012.77423762,146080.24993225,,
328739221,461,New Hampshire & Kirklynn Ave,32061,38.988101,-76.988422,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,9,5,401003.0800788,146685.36332198,,
328739222,462,Wheaton Metro / Georgia Ave & Reedie Dr,32062,39.038341,-77.051023,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,4,7,395582.65145222,152263.70107898,,
328739223,463,Amherst Ave & Elkins St,32063,39.044887,-77.047788,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,6,9,395863.10400444,152990.22852961,,
328739224,464,Amherst Ave & Prichard Rd,32064,39.035965,-77.048395,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,12,395810.0323662,151999.81494344,,
328739225,465,Grandview & Blueridge Ave,32065,39.043272,-77.053085,YES,NO,1970/01/01 00:00:00+00,1970/01/01 00:00:00+00,NO,3,12,395404.45083084,152811.19876663,,
