duration,member,start_hour,dc
6671,0,16,1
435,1,5,1
114,1,17,1
2118,1,22,1
252,1,8,0
4149,0,18,0
24902,1,5,1
630,1,9,1
511,1,7,1
189,1,21,1
314,1,13,1
603,1,17,1
1327,1,15,1
466,1,7,0
621,1,12,0
342,1,6,1
405,1,14,1
378,1,17,1
1309,0,18,1
228,1,7,1
724,1,10,1
2421,0,22,1
1707,0,10,1
1233,1,18,1
990,1,16,1
551,1,19,1
861,1,17,0
293,1,13,1
415,1,7,1
253,1,8,1
709,1,8,1
419,0,20,1
881,1,18,1
4736,0,14,1
404,1,17,1
640,1,9,1
219,1,8,1
440,1,8,1
766,1,17,1
1026,1,18,1
1546,0,23,1
431,1,16,1
1376,1,8,1
641,1,6,1
242,1,9,1
7854,0,11,0
606,1,5,1
485,1,18,1
666,1,16,1
877,1,5,1
520,1,17,1
537,1,18,1
172,1,15,1
469,1,16,1
1218,1,15,0
814,1,20,1
449,1,16,1
1598,0,15,1
3399,0,10,1
753,0,13,1
2902,0,23,1
843,1,9,1
162,1,7,1
329,1,0,1
2267,1,20,1
183,1,17,0
578,1,8,1
245,1,12,1
953,1,18,1
1571,1,19,1
4202,1,19,1
392,1,14,1
410,1,21,1
1251,0,15,1
246,1,14,1
1051,1,19,1
228,1,15,1
613,1,19,1
336,1,20,1
1376,1,8,1
911,1,15,1
255,1,16,1
2857,0,23,1
560,1,15,1
1018,0,14,1
760,1,17,1
3419,0,17,0
724,1,18,0
337,1,11,1
1330,1,10,1
3985,1,17,1
831,1,19,1
3789,0,14,1
148,1,13,0
1335,0,15,1
584,1,6,1
1361,1,9,1
337,1,18,1
421,1,16,1
329,1,18,1
702,1,9,1
297,1,6,1
540,1,23,1
706,1,9,1
493,1,7,1
512,1,20,1
528,1,17,1
235,1,17,1
376,1,16,1
1142,1,0,1
629,1,8,1
518,1,7,1
207,1,7,1
613,1,17,1
1188,1,12,1
457,1,15,1
344,1,8,0
3634,0,22,1
1190,1,12,1
2731,0,2,1
438,1,8,1
424,1,7,1
1664,1,9,1
1429,0,18,1
777,1,14,1
1711,1,7,1
614,1,6,1
683,1,16,1
1285,1,17,1
714,1,13,1
1783,0,16,1
210,1,7,1
284,1,15,1
1525,1,8,1
629,1,22,1
214,1,17,1
1012,1,1,0
489,1,10,1
1528,1,19,1
1019,1,11,1
1216,1,13,1
905,1,21,1
307,1,0,1
318,1,19,1
1132,1,18,1
801,1,19,1
1885,0,12,1
430,1,11,1
1585,1,15,1
3521,1,19,1
1194,1,16,1
1161,1,17,1
1076,0,2,1
727,1,19,1
380,1,22,1
528,1,19,1
12085,0,15,1
1503,1,23,0
277,1,19,1
208,1,19,1
563,1,7,1
1236,0,13,1
527,1,8,1
2402,0,17,1
838,1,9,1
981,1,18,1
1514,0,3,1
852,1,17,1
821,1,17,1
760,1,8,1
370,1,8,1
678,1,17,0
1025,1,16,1
420,0,19,1
1940,0,17,1
449,1,20,1
1296,0,10,1
163,1,15,1
114,1,12,1
1280,1,8,1
334,1,11,1
1070,1,16,1
299,1,8,1
2046,0,17,1
390,1,22,1
158,1,12,1
858,1,19,1
445,1,19,1
725,1,17,1
1429,0,12,1
429,1,15,1
1991,0,13,1
2541,1,21,1
1488,1,14,1
1085,1,11,1
239,1,10,1
1430,0,14,1
2040,0,10,1
539,1,18,1
493,1,17,1
2355,1,14,1
158,1,10,1
266,1,12,1
4058,1,10,1
587,1,21,1
1087,1,16,1
738,1,18,0
852,1,7,1
560,1,1,1
1399,0,19,1
285,1,7,1
1061,1,8,1
739,1,14,1
1062,1,9,1
280,1,19,1
1623,1,11,1
203,1,8,1
681,1,9,1
1375,1,17,1
896,1,10,1
1304,1,7,1
817,1,13,1
381,1,0,1
948,1,7,1
1676,1,15,1
583,1,18,1
1607,1,18,1
394,1,9,1
572,1,14,1
538,1,18,1
2097,0,17,1
64,1,20,1
990,1,17,0
701,1,11,1
815,1,9,1
444,1,16,1
529,1,10,1
234,0,19,1
1497,1,17,1
155,1,11,1
443,1,7,1
1530,1,16,1
707,0,0,1
4625,0,18,0
128,1,20,1
702,1,8,1
282,1,15,1
1447,1,16,1
409,1,13,1
1062,1,18,1
814,1,19,1
528,1,19,1
812,1,13,1
779,1,11,1
921,1,17,1
248,1,11,1
1106,1,5,1
227,1,14,1
239,1,13,1
319,1,12,1
847,1,16,1
341,1,18,1
577,1,21,1
131,1,8,1
1927,0,16,1
987,1,19,1
1381,0,14,0
998,1,6,1
9284,1,1,1
385,1,10,1
469,1,19,1
192,1,12,1
1268,1,4,0
960,0,23,1
1001,1,9,1
159,1,9,1
527,1,21,1
274,1,18,0
17863,0,11,0
334,1,11,1
329,1,15,1
1446,0,11,1
1096,0,13,1
1005,1,8,1
459,1,16,1
384,1,18,1
637,1,16,1
940,0,14,1
361,1,19,1
1481,1,16,1
382,1,16,1
585,1,18,1
993,1,9,1
246,1,17,1
466,1,8,1
523,1,17,0
796,1,15,1
288,1,8,1
2033,0,13,1
437,1,17,0
318,1,8,1
637,1,9,1
498,1,6,1
333,1,17,1
818,1,15,1
307,1,13,1
942,1,8,1
758,1,14,1
259,1,10,1
1781,0,20,0
448,1,10,1
1509,1,12,1
939,1,18,1
5981,0,13,1
569,1,10,1
386,0,1,1
1197,1,14,1
1329,1,17,1
563,1,19,1
367,1,11,1
847,1,15,1
306,1,10,1
1017,0,19,1
277,1,16,1
1081,1,23,1
645,0,13,1
1148,0,13,1
539,1,7,1
1128,0,18,0
602,1,12,0
1348,0,12,1
98,1,19,0
1009,1,9,1
1393,1,12,1
1421,1,8,1
1700,0,17,1
2373,1,22,1
1314,1,17,1
352,1,17,1
295,1,6,0
508,0,18,0
289,1,16,1
277,1,13,1
971,1,8,1
214,1,11,1
782,1,18,1
1028,1,14,1
343,1,16,1
424,1,19,1
332,1,22,1
370,1,18,1
667,1,17,1
1380,0,16,1
1301,1,11,1
976,1,19,1
453,0,0,1
419,0,18,1
352,1,18,1
6675,1,11,0
258,1,9,1
996,1,15,1
888,1,14,1
480,1,21,1
1723,0,16,1
1443,0,13,1
164,1,9,0
451,1,16,1
1841,0,12,1
1361,0,22,1
1309,1,15,0
234,1,21,1
251,1,10,1
358,1,21,1
1695,1,7,1
787,1,8,1
2065,1,11,0
691,1,9,1
611,1,17,0
399,1,17,1
1610,1,16,1
600,1,17,1
828,1,8,1
1292,1,8,1
514,1,20,1
697,0,14,1
1203,0,15,1
1068,1,13,1
469,1,15,1
343,1,7,1
374,1,12,0
821,1,8,1
561,1,16,1
1206,1,17,1
1300,1,12,0
330,0,15,1
1220,1,15,1
709,1,13,1
1034,1,18,1
1729,0,18,1
415,1,13,1
1751,1,14,1
1073,1,7,1
192,1,10,0
775,1,17,1
1441,1,9,1
573,1,16,1
473,1,10,1
859,1,17,1
1024,1,16,1
4270,0,19,1
379,1,9,1
2014,1,17,1
487,1,8,1
268,1,13,1
497,1,19,1
1443,1,8,1
369,0,10,1
1412,1,19,1
494,1,16,1
1261,1,15,1
287,1,15,1
908,1,17,1
321,1,8,1
1026,1,11,1
364,1,17,1
904,1,17,0
315,1,19,0
378,1,12,1
6899,0,12,1
531,1,21,1
526,1,18,1
2179,1,8,1
300,1,11,1
1235,1,6,1
587,1,10,1
763,0,14,1
1672,1,16,1
510,1,12,1
297,1,6,1
129,1,22,1
513,1,10,1
624,1,7,0
867,1,17,0
223,1,11,0
785,1,9,1
452,1,11,1
907,1,7,0
690,1,1,1
1582,1,20,1
110,1,8,1
2059,1,11,1
1598,1,7,1
329,1,22,1
271,1,20,1
731,1,21,1
283,1,15,1
927,1,23,1
1079,1,17,0
1319,1,12,0
277,1,21,1
350,1,8,1
844,1,13,1
3558,0,13,1
1182,1,21,1
1752,1,11,1
1112,1,11,0
471,1,11,1
1055,1,15,1
582,1,20,1
505,1,0,1
456,1,11,1
1052,1,17,1
124,1,13,1
902,1,22,1
315,1,16,0
503,1,11,1
4607,1,12,1
482,0,15,1
1021,1,6,1
286,1,11,1
485,1,10,1
925,1,9,1
1881,1,12,1
1054,1,16,1
300,1,17,1
6921,0,12,1
306,1,11,1
243,1,16,1
546,1,14,1
489,1,17,1
308,1,16,1
1434,1,10,1
473,1,16,1
506,1,9,1
800,1,21,1
1422,1,9,1
443,1,11,1
812,0,18,1
475,1,23,1
279,1,6,1
209,1,10,1
1672,1,20,1
721,0,11,1
393,1,11,1
363,1,12,1
1722,1,16,1
4593,1,17,1
689,0,20,1
436,1,14,1
68,1,8,1
755,0,14,1
879,0,9,1
600,1,16,1
470,1,14,1
557,1,10,1
329,1,16,1
608,1,6,0
445,1,19,1
1086,1,9,1
1446,0,18,0
1812,0,13,1
6345,1,12,1
679,1,18,1
701,1,21,1
916,1,13,1
1203,1,18,1
207,1,17,1
1484,0,18,1
249,1,12,1
1243,1,6,1
324,0,10,0
1691,1,8,0
583,1,10,1
371,1,14,1
20949,0,10,1
124,1,6,1
733,1,9,0
252,1,8,1
761,0,21,0
399,1,7,1
2479,0,17,1
693,1,15,0
1169,0,19,1
425,0,12,1
471,1,9,0
1155,1,10,1
928,0,21,1
357,1,11,1
175,1,15,1
123,1,18,1
1252,1,10,1
521,1,19,1
571,1,21,1
305,1,6,1
157,1,18,1
818,1,18,1
426,1,17,1
603,1,8,1
1767,1,14,0
1112,0,16,1
704,1,18,1
658,1,18,1
234,1,9,1
518,1,13,1
853,1,12,1
303,1,21,1
9720,0,0,1
170,1,19,0
923,1,16,1
1446,1,15,0
1790,1,14,1
682,1,1,0
1006,1,20,1
167,1,13,1
393,1,17,1
279,1,8,0
275,1,17,1
973,1,14,1
104,1,12,1
414,1,13,1
1076,1,21,1
926,1,17,1
1720,1,14,0
271,1,0,1
2770,1,18,1
445,0,10,0
405,1,8,1
583,1,19,1
1887,0,13,1
569,1,8,1
495,1,7,1
1363,0,15,1
276,1,8,1
375,1,11,1
1712,1,12,1
792,1,19,1
445,1,7,1
1804,1,16,1
498,1,9,1
1049,1,17,1
314,1,21,1
449,1,12,1
9187,0,15,1
1468,0,16,0
240,1,14,1
359,1,21,1
448,1,15,1
5303,0,10,1
1279,0,9,1
262,1,20,0
1418,1,18,1
1798,1,21,1
615,1,17,0
1142,1,10,1
778,0,17,1
651,1,23,1
698,1,10,1
817,1,6,1
601,1,21,1
970,1,11,1
296,1,17,0
1227,1,16,1
434,1,16,1
1089,1,18,1
155,1,12,1
507,1,11,1
928,1,17,0
1943,0,15,1
741,1,8,1
770,1,21,1
84,1,11,1
481,1,20,1
192,1,7,0
355,1,18,1
245,1,12,1
2450,1,12,1
527,1,18,1
233,1,19,1
296,1,15,0
1348,1,18,1
268,1,7,1
2195,1,9,1
483,1,9,0
287,1,10,0
472,1,18,0
707,1,20,1
685,1,17,1
1385,1,16,1
2094,0,16,1
1234,0,13,1
646,1,17,1
309,1,18,1
618,1,14,0
314,1,8,1
910,1,22,1
411,1,10,0
575,1,17,1
881,1,8,1
497,1,18,1
917,0,17,1
932,1,14,1
308,1,17,1
336,1,20,1
251,1,14,1
1217,0,18,1
642,1,10,1
1301,1,17,1
187,1,18,1
254,1,16,1
555,1,11,1
1530,1,13,1
1289,1,15,1
686,1,19,1
1290,0,9,1
1688,0,0,1
552,1,20,1
537,1,21,1
222,1,16,1
1507,0,18,1
1656,1,15,1
303,1,20,1
439,1,8,1
552,0,21,1
2186,0,16,1
479,1,7,1
1236,1,2,0
835,0,20,1
620,1,11,1
678,1,9,1
481,1,16,1
1630,0,10,1
2647,1,13,1
742,1,20,1
182,1,4,1
764,0,10,1
161,1,14,1
1228,0,15,1
824,1,7,1
667,0,11,1
1324,0,16,1
735,1,22,0
3498,1,18,1
245,1,17,1
565,1,15,1
480,1,19,1
399,0,19,1
751,1,0,1
2240,1,19,0
502,1,19,1
1025,1,18,1
1222,1,20,0
646,1,17,1
1149,1,9,1
635,1,15,1
714,1,18,1
567,1,17,1
1635,1,18,1
483,1,11,1
230,1,9,1
1741,1,7,1
579,1,20,1
1404,1,19,1
1954,1,9,1
484,1,16,1
1408,1,12,0
922,1,8,1
273,1,7,1
1129,1,7,1
1163,1,13,1
1915,1,17,0
981,1,12,1
7446,0,20,1
782,1,17,1
736,0,17,1
781,1,17,1
4437,0,20,1
684,1,9,1
600,1,9,1
1059,1,19,1
878,1,17,1
786,0,17,0
296,1,7,1
705,0,12,1
1223,0,10,1
543,1,7,1
135,1,14,1
5588,0,13,1
626,1,16,1
1272,1,8,0
629,1,20,1
578,1,7,1
324,1,13,1
3343,0,10,1
921,1,8,1
436,1,8,1
2148,1,8,0
330,1,12,1
1957,1,17,1
414,1,17,1
